date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2017-04-20,203.54757690429688,Range,0,0.0,1000000.0,-0.8702700016735847,0.13614796342627353,1.6231690787325146,0.0,0.0
2017-04-21,202.8988800048828,Range,0,0.0,1000000.0,-0.5376170758377419,0.12286488371170468,10.297999307314903,0.0,0.0
2017-04-24,205.1303253173828,Range,0,-0.0,1000000.0,0.10885671884418452,0.1470824068918301,12.50973516205452,0.0,0.0
2017-04-25,206.32395935058594,Range,0,-0.0,1000000.0,0.45388121001082643,0.13134795270379496,9.663494000462402,0.0,0.0
2017-04-26,206.19419860839844,Range,1,-45.20128256513287,1000111.0860818307,0.4520128256513287,0.14742239706577298,8.6524699179037,99.52062350599036,0.00011108608183074686
2017-04-27,206.36721801757812,Range,1,-57.54901212823604,1000060.0612605967,0.5754901212823604,0.15536266096662377,6.530033399041536,25.48166598771007,-5.10191537160809e-05
2017-04-28,205.9174041748047,Range,20,-969.6264577567038,1000868.5501817825,0.4848132288783518,0.21034828232592687,5.921777111533145,1961.8400151367202,0.0008084403652381944
2017-05-01,206.43637084960938,Range,-11,911.0488531845164,991686.1087845481,0.8282262301677421,0.1446918640696903,2.039371805821904,4027.3556946304816,-0.009174472907123143
2017-05-02,206.51419067382812,Range,2,-94.63495337045447,991826.9034753037,0.47317476685227233,0.11497213592565626,11.23928685060409,2181.5794553945093,0.0001419750559257249
2017-05-03,206.26336669921875,Range,1,-43.44063739652777,991441.862675666,0.4344063739652777,0.12913862268203485,10.76526660944707,112.82416243137774,-0.0003882137077432235
2017-05-04,206.50559997558594,Range,1,-52.46724326177237,991407.8114922586,0.5246724326177237,0.1291280512279718,8.99448224229874,18.640446599454787,-3.4345113606115696e-05
2017-05-05,207.3185577392578,Range,3,-226.82190038640232,991568.328213998,0.7560730012880077,0.09465910382057717,5.285003663209655,377.81078616737716,0.00016190786463332607
2017-05-08,207.28396606445312,Range,5,-404.76703255377134,991654.4721691206,0.8095340651075427,0.09175823551935473,3.829513603628471,384.2065146182638,8.687646899496748e-05
2017-05-09,207.09368896484375,Range,6,-511.9950001869408,991582.4325261934,0.853325000311568,0.09248333028661784,2.567274099004115,228.85919004223703,-7.264591140254684e-05
2017-05-10,207.46563720703125,Range,20,-1963.6743136769312,991933.0279924603,0.9818371568384656,0.022963840744503417,0.3201792216596795,3117.1032722181885,0.00035357167973781856
2017-05-11,207.0417938232422,Range,2,-117.8765761063393,984322.356594778,0.5893828805316965,0.10042063682446317,9.813078859665373,4016.672989578042,-0.007672565770982853
2017-05-12,206.69580078125,Range,1,-55.37911609730064,983892.4169538589,0.5537911609730064,0.11720089612999449,9.519504335887568,136.90132753807737,-0.0004367874386257409
2017-05-15,207.83755493164062,Range,10,-834.489227383873,985053.957645101,0.8344892273838729,0.06924574523288803,4.464923097656925,1705.3460720896787,0.001180556604794436
2017-05-16,207.647216796875,Range,17,-1495.8090075546493,985500.655732146,0.879887651502735,0.06569397286274521,3.1186711650823677,1433.8554805266836,0.0004534757548844137
2017-05-17,203.9627227783203,Range,0,0.0,982951.7840095428,-0.3127947253235823,0.16227979789445474,8.186828295116822,3150.9464501597045,-0.002586372426824579
2017-05-18,204.78440856933594,Range,0,0.0,982951.7840095428,-0.05710744405102125,0.2130090947787718,7.25951122558997,0.0,0.0
2017-05-19,206.11636352539062,Range,1,-62.55329498782211,982960.7800890919,0.6255329498782212,0.20583534458346675,3.491718838034282,133.19841162956834,9.152106639875868e-06
2017-05-22,207.16290283203125,Range,3,-156.20803447150476,983541.039574512,0.5206934482383492,0.08923718493684354,10.72510341956425,234.9318909340776,0.000590318044396021
2017-05-23,207.62127685546875,Range,3,-201.3862020291943,983360.1617181764,0.6712873400973143,0.08393162692381438,7.932441877667248,93.79948834317815,-0.00018390473712603939
2017-05-24,208.10562133789062,Range,7,-555.9993162332631,983958.1842201251,0.7942847374760902,0.06804371064204857,5.251155486518724,780.5437719127522,0.0006081418845600428
